,Subject,date_published,verified,review_text,type_of_traveller,seat_type,route,date_flown,value_for_money,recommended,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,aircraft
35,air-mauritius,2017-01-14 00:10:00,True,"London to Mauritius. In July 2017 myself, my wife and 2 children aged 1 and 3 travelled to Mauritius. As a regular kestrel Flyer, I expected better treatment and better service. They are very child unfriendly.  When we landed, one of our luggage was missing. This is despite the flight was the flight was delayed by more than one hour. We landed on a Sunday, and had to attend a wedding the same night. My wedding clothes and that of my wife were in that luggage. I complained to the staff, they could not care less and said I was not entitled to anything and was sent away. No manager was available and later in turned out that the duty manager on the day was busy attending to the Prime Minister's wife in the State lounge and could not be bothered about paying passengers. I complained to their customer service, and the service I received was poor. I wrote to the CEO and their Chairman. No response at all from them. When we returned to the UK 2 weeks later, two Air Mauritius Staff were travelling. They were being given business class treatment when they were travelling in economy in front of paying customers. I spoke to the cabin crew about this, and they could not care less. What they offered me is 5000 travel points, 50 Euros, and to use their lounge when I travel next which is pathetic to what my family went through travelling with them.",Family Leisure,Economy Class,London to Mauritius,July 2017,1,no,1.0,1.0,2.0,,1.0,,
36,air-mauritius,2017-01-28 00:09:00,True,"Paris to Mauritius. The food was good (chicken, fish and special meals). The entertainment on the plane wasn't good (little screen with 18 channels and you couldn't choose a movie). Another issue was the leg space, a problem when you are bigger than 180cms. The cabin crew was friendly and can speak at least 3 languages (French, English and a native language). When you have a question, they will try to help you with a smile.",Solo Leisure,Economy Class,Paris to Mauritius,September 2017,4,no,1.0,5.0,4.0,1.0,4.0,,
37,air-mauritius,2017-01-27 00:09:00,True,"I travelled from London Heathrow to Mauritius. I was expecting comfort but things have not changed. Customer service at the check-in desk was nice and welcoming. Customer service within the flight was nice too. Negative - Seat was very uncomfortable (for an average guy of 6 feet). Leg space under the seat in front of you is awful. There was a black box next to my feet. Arm rest was painful, food below average. Cold tea / coffee served and I had to complain. Entertainment was poor. The new movies contained strictly old movies. Overall, people only travel with Air Mauritius because it’s a direct flight however I have to say that this service is not good value for money.",Solo Leisure,Economy Class,London to Mauritius,September 2017,1,no,1.0,1.0,1.0,1.0,1.0,,
38,air-mauritius,2017-01-22 00:08:00,True,"Mauritius to London Heathrow. Really good flight, Check in very quick and easy followed by swift Fast Track immigration. At 6'4"" I always find the seats a bit difficult but was surprised that these Old Type seats were very comfortable in sitting mode and also sleep mode. Not Lie flat but fine as I managed 9 hours sleep. No dinner for me as the flights are evening 2200 departures and I do not wish to eat that late. Woke in time for breakfast which was OK. Looking forward to the A350 on this route soon. Entertainment very old and not worth bothering with, staff were very friendly but still do things the old Mauritian way.",Couple Leisure,Business Class,Mauritius to London,August 2017,4,yes,4.0,4.0,3.0,1.0,4.0,,A340-300
39,air-mauritius,2017-01-08 00:08:00,True,After a bad flight a few years ago I decided to fly again as they are the only non stop flights from Heathrow to Mauritius. Glad I did despite the old aircraft I managed 9 hours sleep and found the seats more comfortable than expected as they are not flat. Didn't have dinner but woke early for breakfast which was very good. The crew were friendly and smiled except for one. Looking forward to my return and looking forward to the new aircraft A350 at the end of this year. Only problem for me is the chaos at Heathrow boarding gates (gate 8) as Business Class passengers are unable to see the signs or even get through the chaotic crows! Maybe an announcment would be helpful or heaven forbid maybe one of the many managers standing doing nothing at the gate could assist?,Couple Leisure,Business Class,London to Mauritius,August 2017,5,yes,4.0,4.0,4.0,2.0,2.0,,A340
40,air-mauritius,2017-01-01 00:07:00,True,"Singapore to Mauritius. The worst flight experience. We should have flown on a Budget airline to Mauritius for a better experience! There was an hour delayed departure out from Singapore and the aircon in the plane was not working.  After take off, my husband's entertainment system was not working and we press the call bell and no one attend to us. I have to walk to the galley to inform crew about my husband's entertainment system not working.  After informing about the unserviceable system and I doubt he did anything because they were more concerned about meal service.  Finally we get hold of another Stewardess and inform her and she said she will do it later as she was occupied.  When we receive our tray, I informed the 3rd crew again about the entertainment system and she said she will reset again and doubt that it will work. She offered a seat change but we paid for the exit row (USD50 each) to enjoy the extra legroom instead of having to move to another seat behind and be separated. There were many announcement throughout the flight duration.  First meal service was rushed and after that lights switched off within 2 hours.  Our holiday mood to Mauritius was dampened by the experience with Air Mauritius.",Couple Leisure,Economy Class,Singapore to Mauritius,June 2017,1,no,1.0,1.0,1.0,,3.0,,A330-200
41,air-mauritius,2017-01-02 00:06:00,True,"Paris to Mauritius on May 1st. Had a great experience, flight boarded and left on time. The staff were very pleasant, friendly and extremely helpful. The food on board was good and the flight attendant came around several time for beverage. The one negative comment I would have to say is the individual screen have seen better days. I understand it's an older aircraft, but something has to be done about those screen. overall Air Mauritius provided an excellent service and have impressed us. Good job",Family Leisure,Economy Class,Paris to Mauritius,May 2017,5,yes,3.0,5.0,5.0,3.0,5.0,,A340
42,air-mauritius,2017-01-11 00:04:00,True,"We travelled with Air Mauritius two days ago for our honeymoon from Cape Town. We were bitterly disappointed in the lack of service and unfriendly staff. We waited 2 hours before being served a drink and ended up getting our meal at the same time. The entertainment system did not work for half the flight. When we asked for some water, we were forgotten and we had to get up and ask again, even after ringing the bell to alert them. To top it off one of the air hostesses rolled her eyes at us on three separate occasions: when she had to give way to us in the passage, when we asked her to remove the empty cups and when my husband needed the bathroom before landing. Not a great start to our honeymoon! Very disappointing! We are due to fly back on the 20th April, let's hope we are better received this time.",Couple Leisure,Economy Class,Cape Town to Mauritius,April 2017,2,no,3.0,1.0,1.0,1.0,4.0,1.0,A340
43,air-mauritius,2017-01-17 00:03:00,True,"A319 from Cape Town to Mauritius and ATR72 between Mauritius and Réunion. The staff was not friendly. They serve the meal without watching you, don't expect any smile.  The food was poor. The A319 looks old inside, no modern entertainment like personal screen. On the ATR its the same, but flights are short so it's not a problem. The real good thing with Air Mauritius, is the number of lines from Mauritius. And prices are correct. I know the company is going to change some aircraft soon. A good thing for sure. Let's hope that will bring back smile on crew's faces too.",Couple Leisure,Economy Class,Cape Town to Mauritius,February 2017,3,no,1.0,2.0,2.0,1.0,2.0,,A319
44,air-mauritius,2017-01-11 00:01:00,True,"We were traveling to Mauritius for my sons wedding. It started off a nightmare leaving Melbourne on a Qantas flight - we had so much terrible boarding the plane, as there was a mistake made with my name on my tickets (different from my passport). After a few hours of stress trying to resolve the situation, and the stress of not knowing whether I could board the plane, it was resolved.. In Melbourne they said I would have problems in Perth when I board Air Mauritius. At Perth we went to the Air Mauritius counter fearing the worst. It was not the case. A beautiful lady there helped us. She made us feel at ease right from the start, even had a little joke with us, and she fixed the problem straight away with no drama. She also gave us an upgrade - we were blown away! Thank you Air Mauritius.",Couple Leisure,Business Class,Perth to Mauritius,January 2017,5,yes,5.0,5.0,5.0,,5.0,,
45,air-mauritius,2017-01-07 00:01:00,True,"Mauritius to London. Checkin was chaotic leading to long queues with not enough staff to deal with it and looking visibly unhappy too. It took about 1.5 hours to get to front of queue for checkin. We boarded late only then to sit for about an hour in swelteringly hot and airless cabin before takeoff as the auxiliary power unit was not on, probably to save the airline money as the crew were unwilling to say more than they were suffering too and encouraged me to complain to the airline. Once again, staff unhappy and unmotivated. Requests to talk to senior crew member were ignored and they only came to answer my call button to switch it off, muttering 'later' or words to that effect. No choice of breakfast offered but what came was the most unappetising on any flight I have ever had. The entertainment was very outdated - tiny screen with picture shaking so much that it was unwatchable. And also poor choice of films. On the plus side, the seats were relatively comfortable but only for normal-size passengers. On our outbound flight, the rather large gentleman behind me was in visible pain due to lack of room for his girth/legs. Not that the stewardesses offered any solutions. Luckily, I found another seat so I moved instead to give him more room. As our chosen seats when booking had been unceremoniously reallocated to others by the time we checked in (another first experience for me) this wasn't too much of a hardship.",Family Leisure,Economy Class,MRU to LHR,January 2017,1,no,3.0,1.0,1.0,1.0,1.0,,
46,air-mauritius,2016-01-30 00:11:00,True,"Mauritius to Perth. Flight to Mauritius was delayed for 2 hours. No explanation, then was cancelled with no warning. A guy from Air Mauritius came out and yelled over the top of everyone saying flight has been cancelled come back tomorrow at the same time, then just walked off like that. No one knew what was going on or what to do. Then when we returned the next day the flight was delayed a further 4 hours with the same poor service. Now on my way home flight is delayed a further 2 hours with the same appalling service. What a joke of an airline and the staff need to work on their customer service too!",Couple Leisure,Economy Class,MRU to PER,November 2016,2,no,2.0,2.0,2.0,2.0,1.0,,
47,air-mauritius,2016-01-20 00:11:00,,"Mauritius to Durban. Luckily we sat in the front row with the babies and kids. The legroom was excellent. However the legroom for the other seats I noticed was miserable. Tall passengers with their legs in the aisle. Aircraft was clean, crew very friendly and breakfast excellent on this 4 hour flight. However after 1 month I still have not been credited with my miles in my Air France account. Pretty annoying.",Couple Leisure,Economy Class,MRU to DUR,November 2016,4,yes,4.0,5.0,5.0,,5.0,,A319
48,air-mauritius,2016-01-20 00:11:00,,"Johannesburg to Mauritius with Air Mauritius. The nicest cabin interiors which make you feel that you are already at the beach. Very friendly staff; excellent legroom. Quite a decent meal for a 4 hour flight. Audio and entertainment worked and cabin was clean. The flight left and arrived on time. However South African Airways staff who weigh the bags for Air Mauritius were a pain, though we were only 2 kilos overweight on one bag. They blamed it on Air Mauritius though SAA flights also watch the exact weight.",Couple Leisure,Economy Class,JNB to MRU,November 2016,4,yes,5.0,5.0,4.0,4.0,4.0,,A340
49,air-mauritius,2016-01-28 00:08:00,,"Mauritius to Delhi with Air Mauritius. I booked emergency seat, 27H, but the legroom was not great. I had the emergency slide on front of my legs. Seats are very uncomfortable. Good thing about this airline is that you get free spirits (when you ask). The main reason I have chose this flight was because it was direct.",Couple Leisure,Economy Class,MRU to DEL,August 2016,4,yes,1.0,3.0,4.0,1.0,3.0,,A340
50,air-mauritius,2016-01-23 00:07:00,True,"London Heathrow to Mauritius with Air Mauritius. Staff was helpful and friendly. Food was very average. Entertainment was very tragic. This route uses the old style entertainment system Which plays a set number of films on loop. Inflight entertainment system was old and not flexible and the screens were unclear. Bad quality monitors and headphones, nothing was to actually see and hear. The seat were uncomfortable, very little legroom. They lost my luggage, no one knew why or where it was, we waited 5 days for luggege without any information from the Air Mauritius what happened, when we could expect it . We got 2000MUR (ca. 40 GBP) as atonement, but it was enough only for a swimsuit and shampoo. We do not recommend this airline at all.",Couple Leisure,Economy Class,LHR to MRU,July 2016,1,no,1.0,5.0,2.0,,2.0,,
51,air-mauritius,2016-01-05 00:07:00,True,"Flew London Heathrow to Mauritius. Great service from Air Mauritius, seats ok, inflight entertainment not so good, food ok at best. Travelled from London Heathrow a week before on a 747 when service was again excellent, food really good, inflight entertainment ok but big downside were seats where legroom was poor. I believe 747s are being replaced in next year or so. Service at airport check-in at both airports was very friendly, helpful and efficient. Luggage all arrived. Pricing was competitive. I would use again.",Couple Leisure,Economy Class,MRU to LHR,July 2016,3,yes,3.0,5.0,3.0,2.0,4.0,,A340
52,air-mauritius,2016-01-08 00:06:00,True,"Singapore to Mauritius. Air Mauritius is frightfully expensive.  I paid twice as much for this 7 hour flight as I paid for a 22 hour flight trans-pacific on another carrier.  I take my hat off to the cabin and ground crew,  they are well trained and in most cases love their jobs. Their smiles are genuine and are attentive to passengers (or to me at least!). The aircraft has seen better days. Entertainment system was old and screen was small. I don't even watch TV. No wi-fi. Seat Livery could do with a makeover - looks a little chintzy, though you can tell it was inspired by the colors of Mauritius, the seats being turquoise to match the natural lagoon. Staff were well-dressed in navy jackets, white shirts and really awesome rainbow scarves.  Food wasn't bad. I think I had some stir fried veggies and rice (Oriental Vegetarian meal). Was hoping they'd surprise us with Haagen Dazs ice-cream but they didn't. Do you want to go to Mauritius? If you do, I recommend Air Mauritius, as it's the only way you can get there.",Family Leisure,Economy Class,SIN to MRU,May 2016,2,yes,2.0,4.0,3.0,2.0,4.0,,A340
53,air-mauritius,2016-01-05 00:06:00,True,Mauritius to London Heathrow with Air Mauritius. Staff are perfectly friendly. Food is poor with the business class meal very average. No snacks available during the flight except the packets of pretzels which the staff went to get me from economy class. Entertainment is poor. This route uses the old style entertainment system which plays a set number of films (about 4 English language options) on loop. The seat is average - old style business class angled flat but with nice cushions. Route and timing is good - on time and direct to London is great.,Business,Business Class,MRU to LHR,June 2016,4,no,2.0,3.0,1.0,1.0,3.0,,
54,air-mauritius,2016-01-07 00:03:00,,Flew Air Mauritius from Mauritius to Paris. Old plane but it was clean. Crew friendly and helpful and service was good. The food could be better. Space was acceptable. Inflight entertainment system was old and not flexible and the screens were unclear. For us not so important due to the fact that it was a night flight.,Couple Leisure,Economy Class,MRU to CDG,February 2016,3,yes,3.0,4.0,2.0,1.0,4.0,,A340
55,air-mauritius,2016-01-10 00:02:00,,"Mauritius to Kuala Lumpur and return with Air Mauritius. Check in was smooth and efficient.  Flight was half full. Flight attendants pleasant and helpful. Food was ok, but was better on inbound flight. Entertainment was adequate for the flight with AVOD. Seat comfortable for 7 hour flight, regular drinks service by crew. a small snack was served before landing, which could be improved. Overall, it was a good flight.",Solo Leisure,Economy Class,MRU to KUL,February 2016,4,yes,4.0,4.0,4.0,4.0,4.0,,A330-200
56,air-mauritius,2016-01-07 00:02:00,,"Perth to Mauritius was excellent. Day flight, very pleasant FA on my side, (the one on the other side clearly was not happy to there) great food. The trip back was a little disappointing. They ran out of my choice of food (fish) and instead of informing me and suggesting something else on the menu, they decided of give a disgusting, tasteless staff meal! I didn't know that and they only told me about it when I returned it untouched. In fairness, they then asked if I wanted something else. Way too late guys! Of course, by then I was put off by the whole thing and decided to sleep instead. No flat bed is provided and for the price you charge is just not on Air Mauritius. Shame on you! Flight Manager was a welcoming and very pleasant. Honesty and transparency is the best policy. Always inform the passenger first.",Solo Leisure,Business Class,MRU to PER,December 2015,3,no,3.0,4.0,2.0,1.0,5.0,1.0,
57,air-mauritius,2016-01-25 00:01:00,,"Mauritius to Beijing with Air Mauritius. Very smooth check-in, immigration and security procedures at MRU airport. The A340 aircraft was a bit old but comfortable enough. Extremely good service by staff onboard and discrete meals. On-flight entertainment system could be improved but overall a very good experience.",Family Leisure,Economy Class,MRU to PEK,January 2016,3,yes,3.0,4.0,3.0,2.0,4.0,,A340
58,air-mauritius,2016-01-08 00:01:00,,"Perth to Johannesburg via Mauritius, and on the 4 flights I took in the last month I am most impressed. I flew with a 3 and 4 year old which I thought would be challenging but it wasn't. The crew were attentive and thoughtful, food delicious, drinks never ending, and the amenity kit great. The kids got packs (different) on all 4 flights. Kids meals were age appropriate and delicious. IFE a bit dated but enjoyable nonetheless. The only reason I don't score full marks is because of the seats - what is up with that crazy weird seat?",Family Leisure,Business Class,PER to JNB via MRU,January 2016,5,yes,4.0,5.0,5.0,4.0,5.0,,A340
59,air-mauritius,2016-01-07 00:01:00,,"Mumbai to Mauritius return with Air Mauritius. Somewhat dated aircraft with very sad IFE. The flights were on time, seats were comfortable, food was decent, and they still hand out amenity kits. Not exactly fabulous, but it's fairly comfortable. Wouldn't mind flying with them again if they ramp up their frequencies up a bit.",Solo Leisure,Economy Class,BOM to MRU,May 2015,4,yes,4.0,4.0,4.0,2.0,4.0,,A330
60,air-mauritius,2016-01-06 00:01:00,,"Paris to Mauritius and return in Business class with the family. A good experience even if a somewhat dated plane with angled seats and a dated entertainment system (although with well curated but limited selection of films). Charming and attentive cabin crew and very kind to our children without any exceptions on both legs. Okay food and drinks selection at an average business class level. AF lounge in Paris in okay. All in all, a good value for money option to Mauritius.",Family Leisure,Business Class,CDG to MRU,December 2015,5,yes,3.0,5.0,4.0,3.0,4.0,,A340
61,air-mauritius,2015-01-29 00:11:00,,"I was pleasantly surprised with Air Mauritius. The aircraft was clean and the flight attendants very helpful. The entertainment system is a little dated, and the seats are a little narrow. The meals going out were okay, but on the return journey not so good. Plenty to drink through the flight. Take off and landing excellent. I usually suffer with my ears but had no problem on this trip. I would fly with Air Mauritius again.",Family Leisure,Economy Class,Heathrow to Mauritius,October 2015,4,yes,3.0,5.0,3.0,3.0,5.0,,
62,air-mauritius,2015-01-27 00:11:00,,"Air Mauritius A340 has the worst business class seat ever. The seats do not lie flat, and you tend to slide down on them - tired and dated with plenty of signs of wear. Inflight entertainment is old and dated -  no news or games programmes/channels. The cabin crew cannot be faulted for trying. I wonder if Air Mauritius have ever bothered reading these reviews - I would not have thought so; they've got your money, so why would they worry?",Couple Leisure,Business Class,Heathrow to Mauritius,November 2015,1,no,1.0,3.0,2.0,1.0,1.0,,A340-300
63,air-mauritius,2015-01-30 00:10:00,,"Totally disappointed with the flight outbound, dated aircraft, in light entertainment was ridiculous all the films started at the same time with no option to rewind or pause. The meals were bland, you'll not starve but that's about it. we couldn't book our return seats online, we tried several times but no results, but thought nothing of it, but this morning once the 24hrs online check in opened we logged in 3 mins after it opened and all the seats were booked. So me and my partner couldn't even be seated together. I'd never fly with Air Mauritius again, I'd rather pay a few pounds more and have a happy 12hrs in the air.",Couple Leisure,Economy Class,Mauritius to London,October 2015,1,no,1.0,2.0,1.0,1.0,1.0,1.0,
64,air-mauritius,2015-01-26 00:10:00,,"Return flight from London to Mauritius in business class. Friendly, welcoming staff on the whole, and good service. Good food and excellent champagne and wine offerings. The main issue is the business class seat, which does not lie flat, and leads to interrupted sleep. Business customers have access to the Skyteam lounge at Heathrow which is excellent. The lounge at Mauritius is reasonable, but the food offerings there are poor.",Couple Leisure,Business Class,Heathrow to Mauritius,October 2015,3,yes,2.0,3.0,4.0,3.0,4.0,,A340
65,air-mauritius,2015-01-23 00:10:00,,"London Heathrow to Mauritius with Air Mauritius. This was the most uncomfortable journey I have ever taken. There was no leg room and the seats were unforgiving. Good value for money, but so are buses.",Couple Leisure,Economy Class,London to Mauritius,August 2015,4,no,1.0,3.0,2.0,,2.0,,
66,air-mauritius,2015-01-20 00:10:00,,"London Heathrow to Mauritius return, and we had no problems both ways. Cabin crew helpful and smiling. Food wasn't. We did check in online both ways and this so efficient going through bag drop. We felt the Airport in Mauritius was amazing, the downside to our outward journey was that another passenger became ill 2 hours before we landed. The captain called for medical staff to assist which as both my husband and I are nurses we assisted, but luckily there was a trauma consultant on board. Unfortunately the poor man died despite efforts to resuscitate him. It appears that the Air Mauritius aircraft only had a facemask but no ambu bag and no defibrilator. The cabin crew appeared calm and reassuring to other passengers and treated the deceased man with the utmost dignity when they took him to the back of the aircraft.",Couple Leisure,Economy Class,LHR to MRU,September 2015,4,yes,4.0,4.0,4.0,4.0,4.0,,
67,air-mauritius,2015-01-12 00:10:00,,"This Air Mauritius flight was awful. There is very limited leg room due to a metal box taking up most of the available leg room beneath the seat in front.  Impossible to get remotely comfortable on the flight. No sleep was had due to very uncomfortable seats and constant cabin announcements. Badly designed and old plane. Inflight entertainment system poor. Service poor. Food awful. What a shame as we love Mauritius but with no option but to fly from Perth via Air Mauritius, we will not be returning until they have upgraded aircraft. Or perhaps there is another direct carrier.",Family Leisure,Economy Class,Perth to Mauritius,October 2015,2,no,1.0,2.0,2.0,1.0,3.0,,
68,air-mauritius,2015-01-18 00:09:00,,"Air Mauritius is appaling, whilst on holidays (I am Mauritian born) the airline and its associated problems were in the papers on a daily basis. I got home with marks on my knees (even though I have a baby which kept me in and out of my seat - entertainment system did not work on 2 of our 4 seats - delayed for 3hrs in terminal due to technical difficulty. Ground and inflight staff were extremely unhelpful, trying to carry sleeping baby and two toddlers no one offered help - passengers were offering help.  Aircraft is cold, with atrocious service , we had food on the trays for ages whilst trying to move around in a limited legroom. Flight staff barely cared and when asked to assist appeared to be indignant.  I am extremely disappointed of with Air Mauritius , it does leave a good taste for tourists.",Family Leisure,Business Class,Mauritius to Perth,September 2015,1,no,1.0,1.0,2.0,2.0,1.0,,A330
69,air-mauritius,2015-01-07 00:09:00,,"The seats on this Air Mauritius flight were old and grubby, and the leg room poor. A good point was the seating layout of 2x4x2. The staff were polite and reasonably helpful. The inflight entertainment was poor and the screen was so small I had to wear reading glasses to watch it. The worst thing was the food - on the flight from Heathrow to Mauritius the food was just about acceptable, but coming back was dreadful. The dinner we left most of it and the breakfast was so dreadful that neither of us ate it. We have flown with many different airlines, but none have been as bad as that. On the flight home we were delayed 29hrs and were not informed until we arrived at the airport, then we were taken to the Holiday Inn by the airport. There was no apology or compensation for this inconvenience",Couple Leisure,Economy Class,London to Mauritius,July 2015,2,no,3.0,4.0,1.0,1.0,4.0,1.0,
70,air-mauritius,2015-01-20 00:08:00,,A truly awful experience and one as a family we have no wish to repeat by flying again. It was a daytime flight and all the cabin window shutters were kept down and the lights kept down so we flew in darkness - we asked the purser to put up the lights and blinds and we were told he could not do this. There was obviously bright sunshine outside but we were subjected to flying in darkness. The food was truly awful - I am not expecting haute cuisine on an economy flight but we were served pap. We have eaten good food in Mauritius but no attempt was made to serve reasonable food - no fresh fruit - it is a tropical island and I believe an attempt to serve a slice of pineapple is possible even on a tight budget but the salad that was presented was ghastly. The bread rolls were as stale as bricks on all three meals presented - watch your costs but don't bother presenting it to customers as a meal. Just because they have a tray to fill with their little boxes for a 3 course meal doesn't mean the customer should be treated as a fool! The whole experience was a shambles and can reflect on the island of Mauritius as a destination. The airline is getting it wrong by subjecting customers to this kind of service/experience in this day and age.,Family Leisure,Economy Class,Mauritius to London,August 2015,1,no,2.0,1.0,1.0,2.0,2.0,1.0,
71,air-mauritius,2015-01-15 00:08:00,,We had to travel from Mumbai to Mauritius. Air Mauritius flight MK749 got cancelled on 17/7/2015 10 hrs before departure without an alternate flight arrangement. We had to book tickets from Mumbai to Mauritius via Dubai. Return flight of Air Mauritius on 21/7/2015 MK748 to depart at 2120 hrs was rescheduled late by 3 hours at last moment without indication to passengers.,Couple Leisure,Economy Class,Mumbai to Mauritius,July 2015,1,no,1.0,1.0,1.0,1.0,1.0,,
72,air-mauritius,2015-01-29 00:07:00,,Singapore to Mauritius. The crew were sleeping with covers on their head at the back of the plane which were far from a warm welcome I was expecting. However crew were helpful and fairly good for inflight service. Return leg did not meet my expectation - Air Mauritius delayed for 2.5 hours and was not helpful to change my connecting flight KL-Singapore. The ground staff in Mauritius was very poor in service for check in - took over 45 mins only for me.,Family Leisure,Economy Class,Mauritius to SIN via Kuala Lumpur,July 2015,3,no,2.0,4.0,3.0,2.0,2.0,,A330
73,air-mauritius,2015-01-12 00:07:00,,"We were pleasantly surprised by the service and overall comfort of the trip. The cabin staff were professional and friendly and the food and beverages top class. The accommodation arranged for us by Air Mauritius at the Airport Holliday Inn was top class. Thank you and well done, looking forward to our next trip on Air Mauritius later this year.",Couple Leisure,Business Class,Cape Town to Perth via Mauritius,July 2015,5,yes,4.0,5.0,5.0,4.0,4.0,,A319 / A330-200
74,air-mauritius,2015-01-08 00:05:00,,My wife and I booked business class from Cape Town via Mauritius to Paris (return). The 5.5 hour flight from Cape Town to Mauritius was essentially in economy seats with an arm rest in between the seats with a partial recline. The 12 hour flight from Mauritius to Paris in a A340 was in a reclining seat except that it is not flat so you end up sliding down the seat with your feet getting squashed against the seat in front of you. The airline assured us that this leg of our journey had flat beds which is certainly not the case. The inflight entertainment is a non entity and probably the worst we have experienced.,,Business Class,,,3,no,2.0,4.0,3.0,1.0,,,
75,air-mauritius,2015-01-04 00:05:00,,LHR-MUR return as experienced business travellers there are certain things we expect. We were originally flying BA until they changed the schedule meaning a loss of a days holiday unacceptable when you only have 7 so we changed to Air Mauritius which to be frank I was dreading! Check in fast and efficient fast track through customs as you would expect. As a small airline the lounge is shared with other airlines. A real let down next to no food choice wine etc ok Emirates it wasn't. Once on the plane business seemed reasonably comfortable until you try to sleep the seat doesn't lie flat but sloping to the floor. I'm 5ft 9 and my feet were rammed into the seat in front I didn't sleep a wink all night. Having said that food reasonable wine flowed nicely we couldn't get our TV to work my husband slept most of the way I had a very long night. Return ok lounge very nice food less appealing on the flight home very weird combinations we had 2 full dinners and afternoon tea halfway through. Got the TV to work this time but film selection rubbish.,,Business Class,,,4,yes,3.0,4.0,4.0,2.0,,,
76,air-mauritius,2015-01-01 00:05:00,,Flew Cape Town - Mauritius - Perth Business class. The flight from CPT to MRU (A319) is more Premium Economy than business with extra legroom economy class seats (3) with the middle seat blocked. There is no individual IFE on this flight. MRU - Perth (A330) full business with slight inclining beds. Service was good and the food lovely and plentiful with matching wines. Business lounge at MRU airport very good. Would fly again.,,Business Class,,,3,yes,3.0,4.0,4.0,3.0,,,
77,air-mauritius,2015-01-04 00:03:00,,A pleasant surprise on this MUR-TNR flight in a 340. Comfortable seats (for a 2 hours flight but in no way a lie flat) nice staff proper food and wine. Much better than my previous flight NAI-MUR where I paid business fare to be seated on a coach seat (and the crew told me it has not changed): this is why I would not recommend this airline.,,Business Class,,,4,no,4.0,4.0,4.0,4.0,,,
78,air-mauritius,2015-01-30 00:01:00,,The staff on the AM plane's do no more than the bare minimum service wise how many times does a customer have to ask for a glass of water? When you get the water its in a plastic cup and its warm! Their own pre flight customer care video states that consuming water is suggested for all flights! If only you could get it. Then there was the seating smelly old uncomfortable and zero leg room. I am 175cm tall and I was looking for space! We flew overnight leaving at 22.00 and the lights in the cabin were off for all of 3hrs in a 8hr flight! What also annoyed us was excessive the use of the PA! They love it everyone has a go the captain the assistant the FA captain and assistant and the toilet cleaner. Give it a rest no one listens to the announcements especially when we are trying to sleep!,,Economy Class,,,1,no,1.0,1.0,1.0,3.0,,,
79,air-mauritius,2015-01-14 00:01:00,,The seats were narrow and leg room poor. A good point was the seating layout 2x4x2. The staff were polite and reasonably helpful. The inflight entertainment was poor and difficult to get to work. The worst thing was the food on the flight from Heathrow to Mauritius the food was just about acceptable. Coming back was dreadful. The dinner we left most of it and the breakfast was so dreadful that neither of us ate it. We have flown with many different Airlines none have been as bad as that.,,Economy Class,,,3,no,2.0,3.0,1.0,1.0,,,
